DATE      	AVG TMP        	REFERENCE ET   	PRECIPITATION  
YYYY-MM-DD	C              	mm/day         	MM             
1984-03-01	-0.50          	1.493          	6.00           
1984-03-02	-4.25          	1.042          	0.00           
1984-03-03	-3.50          	1.195          	0.00           
1984-03-04	-3.00          	1.180          	0.00           
1984-03-05	-2.75          	1.348          	0.00           
1984-03-06	-1.00          	0.769          	12.00          
1984-03-07	2.00           	1.044          	11.00          
1984-03-08	0.75           	1.315          	0.00           
1984-03-09	-3.75          	1.231          	0.00           
1984-03-10	-7.50          	0.840          	11.00          
1984-03-11	-8.75          	1.031          	0.00           
1984-03-12	-5.00          	1.459          	0.00           
1984-03-13	-5.25          	1.315          	0.00           
1984-03-14	-3.75          	0.976          	10.00          
1984-03-15	0.75           	1.209          	0.00           
1984-03-16	2.25           	1.923          	0.00           
1984-03-17	4.50           	1.846          	0.00           
1984-03-18	4.50           	2.245          	0.00           
1984-03-19	3.50           	1.248          	0.00           
1984-03-20	5.50           	1.620          	0.00           
1984-03-21	5.75           	1.954          	0.00           
1984-03-22	7.50           	1.862          	13.00          
1984-03-23	5.50           	1.638          	0.00           
1984-03-24	3.75           	1.303          	0.00           
1984-03-25	2.25           	1.663          	0.00           
1984-03-26	4.75           	1.211          	0.00           
1984-03-27	5.25           	2.338          	0.00           
1984-03-28	5.00           	2.041          	0.00           
1984-03-29	5.50           	1.641          	13.00          
1984-03-30	1.00           	0.827          	38.00          
1984-03-31	2.75           	1.025          	4.00           
1984-04-01	3.50           	1.583          	0.00           
1984-04-02	4.00           	2.055          	0.00           
1984-04-03	5.50           	2.469          	0.00           
1984-04-04	7.75           	2.759          	0.00           
1984-04-05	9.25           	1.793          	10.00          
1984-04-06	10.25          	1.623          	29.00          
1984-04-07	9.50           	1.485          	15.00          
1984-04-08	5.00           	1.160          	0.00           
1984-04-09	7.50           	2.785          	0.00           
1984-04-10	7.50           	2.887          	0.00           
1984-04-11	7.25           	3.081          	0.00           
1984-04-12	7.75           	3.278          	0.00           
1984-04-13	10.50          	3.301          	0.00           
1984-04-14	13.00          	2.132          	0.00           
1984-04-15	9.75           	1.369          	2.00           
1984-04-16	7.50           	0.968          	15.00          
1984-04-17	9.50           	1.261          	6.00           
1984-04-18	10.25          	2.374          	2.00           
1984-04-19	9.25           	2.095          	4.00           
1984-04-20	9.00           	1.488          	3.00           
1984-04-21	8.50           	2.296          	0.00           
1984-04-22	9.75           	3.191          	0.00           
1984-04-23	7.00           	2.073          	0.00           
1984-04-24	4.75           	1.040          	10.00          
1984-04-25	6.75           	1.000          	8.00           
1984-04-26	9.25           	1.860          	4.00           
1984-04-27	12.50          	4.285          	0.00           
1984-04-28	15.50          	3.901          	0.00           
1984-04-29	14.75          	2.767          	0.00           
1984-04-30	13.50          	4.128          	6.00           
1984-05-01	15.50          	2.968          	7.00           
1984-05-02	12.00          	4.013          	3.00           
1984-05-03	10.25          	3.431          	0.00           
1984-05-04	11.75          	2.221          	0.00           
1984-05-05	13.25          	2.608          	42.00          
1984-05-06	13.50          	3.354          	0.00           
1984-05-07	11.50          	1.938          	0.00           
1984-05-08	10.75          	1.301          	4.00           
1984-05-09	13.50          	1.824          	13.00          
1984-05-10	11.50          	2.698          	12.00          
1984-05-11	11.00          	3.202          	0.00           
1984-05-12	13.50          	3.886          	0.00           
1984-05-13	17.50          	3.324          	4.00           
1984-05-14	14.75          	3.658          	0.00           
1984-05-15	14.00          	3.202          	5.00           
1984-05-16	9.50           	2.503          	0.00           
1984-05-17	8.75           	3.027          	0.00           
1984-05-18	9.50           	4.016          	0.00           
1984-05-19	11.00          	1.624          	0.00           
1984-05-20	14.00          	2.827          	5.00           
1984-05-21	20.00          	3.394          	0.00           
1984-05-22	19.75          	3.395          	10.00          
1984-05-23	21.25          	5.382          	0.00           
1984-05-24	23.00          	3.249          	0.00           
1984-05-25	16.50          	4.958          	12.00          
1984-05-26	17.75          	5.331          	0.00           
1984-05-27	21.00          	4.435          	0.00           
1984-05-28	19.75          	4.214          	7.00           
1984-05-29	17.75          	1.829          	2.00           
1984-05-30	17.25          	1.871          	54.00          
1984-05-31	14.25          	2.946          	25.00          
1984-06-01	12.00          	3.691          	0.00           
1984-06-02	14.00          	4.222          	0.00           
1984-06-03	16.25          	5.123          	0.00           
1984-06-04	16.25          	3.927          	3.00           
1984-06-05	18.25          	5.906          	0.00           
1984-06-06	20.25          	5.550          	0.00           
1984-06-07	23.00          	4.423          	0.00           
1984-06-08	25.25          	5.366          	0.00           
1984-06-09	25.00          	5.452          	0.00           
1984-06-10	26.25          	6.159          	0.00           
1984-06-11	26.25          	5.377          	0.00           
1984-06-12	26.75          	5.968          	0.00           
1984-06-13	24.50          	5.721          	0.00           
1984-06-14	26.25          	4.691          	0.00           
1984-06-15	25.50          	5.239          	25.00          
1984-06-16	21.00          	4.683          	0.00           
1984-06-17	14.75          	3.255          	0.00           
1984-06-18	17.50          	1.248          	0.00           
1984-06-19	18.75          	2.627          	43.00          
1984-06-20	22.75          	5.625          	10.00          
1984-06-21	21.50          	5.190          	0.00           
1984-06-22	19.75          	5.481          	0.00           
1984-06-23	21.00          	4.912          	0.00           
1984-06-24	20.75          	4.401          	0.00           
1984-06-25	19.00          	1.776          	0.00           
1984-06-26	20.75          	4.671          	29.00          
1984-06-27	18.25          	4.854          	3.00           
1984-06-28	19.50          	4.941          	0.00           
1984-06-29	22.00          	4.870          	0.00           
1984-06-30	21.00          	3.941          	0.00           
1984-07-01	22.25          	2.516          	12.00          
1984-07-02	20.25          	2.117          	17.00          
1984-07-03	21.25          	4.484          	4.00           
1984-07-04	22.75          	4.640          	5.00           
1984-07-05	23.75          	4.207          	0.00           
1984-07-06	24.50          	3.433          	0.00           
1984-07-07	23.75          	2.685          	38.00          
1984-07-08	22.00          	4.709          	41.00          
1984-07-09	18.00          	5.185          	0.00           
1984-07-10	17.50          	3.950          	0.00           
1984-07-11	19.25          	2.505          	0.00           
1984-07-12	23.25          	4.308          	11.00          
1984-07-13	25.00          	6.246          	6.00           
1984-07-14	23.00          	5.562          	0.00           
1984-07-15	24.00          	5.571          	0.00           
1984-07-16	24.75          	5.202          	0.00           
1984-07-17	25.75          	5.599          	2.00           
1984-07-18	23.25          	5.432          	0.00           
1984-07-19	23.50          	3.744          	20.00          
1984-07-20	20.75          	4.827          	0.00           
1984-07-21	20.25          	4.393          	0.00           
1984-07-22	20.25          	2.525          	11.00          
1984-07-23	22.25          	2.913          	2.00           
1984-07-24	23.75          	4.058          	0.00           
1984-07-25	24.50          	5.100          	0.00           
1984-07-26	22.50          	5.150          	0.00           
1984-07-27	20.50          	3.973          	0.00           
1984-07-28	21.25          	2.690          	21.00          
1984-07-29	18.75          	3.402          	0.00           
1984-07-30	19.00          	3.216          	0.00           
1984-07-31	20.25          	3.830          	0.00           
1984-08-01	20.75          	4.979          	0.00           
1984-08-02	24.25          	4.921          	0.00           
1984-08-03	25.50          	1.970          	0.00           
1984-08-04	25.00          	2.839          	1.00           
1984-08-05	24.75          	3.916          	0.00           
1984-08-06	24.25          	2.605          	11.00          
1984-08-07	23.75          	4.326          	0.00           
1984-08-08	25.00          	4.597          	0.00           
1984-08-09	24.75          	4.711          	0.00           
1984-08-10	25.00          	4.334          	0.00           
1984-08-11	24.75          	2.778          	11.00          
1984-08-12	24.00          	2.415          	0.00           
1984-08-13	24.25          	2.396          	0.00           
1984-08-14	24.50          	3.143          	6.00           
1984-08-15	24.75          	1.403          	0.00           
1984-08-16	24.75          	5.207          	0.00           
1984-08-17	23.75          	5.142          	0.00           
1984-08-18	23.50          	5.122          	0.00           
1984-08-19	22.25          	4.591          	0.00           
1984-08-20	20.50          	3.346          	8.00           
1984-08-21	18.75          	4.489          	10.00          
1984-08-22	16.00          	4.087          	0.00           
1984-08-23	19.00          	4.225          	0.00           
1984-08-24	21.75          	3.743          	13.00          
1984-08-25	20.00          	4.655          	0.00           
1984-08-26	19.25          	4.439          	0.00           
1984-08-27	19.50          	4.072          	0.00           
1984-08-28	19.75          	3.999          	0.00           
1984-08-29	22.00          	3.194          	0.00           
1984-08-30	22.75          	3.882          	0.00           
1984-08-31	24.25          	4.006          	0.00           
1984-09-01	23.25          	4.532          	30.00          
1984-09-02	19.00          	4.589          	0.00           
1984-09-03	19.50          	3.951          	0.00           
1984-09-04	22.50          	3.717          	0.00           
1984-09-05	21.25          	3.482          	20.00          
1984-09-06	15.25          	3.868          	0.00           
1984-09-07	13.75          	3.488          	0.00           
1984-09-08	12.75          	3.050          	0.00           
1984-09-09	15.00          	3.608          	0.00           
1984-09-10	16.50          	4.018          	0.00           
1984-09-11	19.50          	3.545          	0.00           
1984-09-12	21.00          	3.794          	0.00           
1984-09-13	21.50          	4.141          	3.00           
1984-09-14	18.75          	3.830          	0.00           
1984-09-15	21.00          	2.991          	0.00           
1984-09-16	17.00          	2.928          	5.00           
1984-09-17	10.75          	2.789          	0.00           
1984-09-18	11.75          	3.106          	0.00           
1984-09-19	12.50          	2.459          	0.00           
1984-09-20	13.50          	3.829          	0.00           
1984-09-21	17.50          	4.434          	0.00           
1984-09-22	19.75          	3.732          	0.00           
1984-09-23	17.00          	3.128          	0.00           
1984-09-24	19.25          	3.994          	0.00           
1984-09-25	21.50          	2.328          	0.00           
1984-09-26	22.75          	3.383          	0.00           
1984-09-27	20.25          	3.747          	0.00           
1984-09-28	10.75          	2.080          	0.00           
1984-09-29	7.75           	1.333          	7.00           
1984-09-30	10.50          	1.997          	2.00           
1984-10-01	11.50          	2.065          	0.00           
1984-10-02	12.25          	1.488          	6.00           
1984-10-03	10.25          	1.870          	7.00           
1984-10-04	10.00          	3.031          	0.00           
1984-10-05	11.75          	2.662          	0.00           
1984-10-06	11.25          	2.659          	0.00           
1984-10-07	11.00          	2.500          	0.00           
1984-10-08	10.00          	1.732          	0.00           
1984-10-09	12.75          	1.618          	0.00           
1984-10-10	16.50          	1.905          	0.00           
1984-10-11	16.00          	2.004          	0.00           
1984-10-12	17.00          	2.411          	0.00           
1984-10-13	15.75          	3.230          	0.00           
1984-10-14	16.00          	3.178          	0.00           
1984-10-15	14.50          	3.240          	0.00           
1984-10-16	12.50          	2.152          	0.00           
1984-10-17	13.50          	1.215          	0.00           
1984-10-18	14.50          	1.355          	0.00           
1984-10-19	17.00          	1.783          	0.00           
1984-10-20	16.50          	2.177          	0.00           
1984-10-21	18.25          	2.181          	4.00           
1984-10-22	19.25          	2.294          	0.00           
1984-10-23	20.25          	1.249          	0.00           
1984-10-24	17.25          	1.694          	32.00          
1984-10-25	11.50          	0.947          	6.00           
1984-10-26	13.25          	1.353          	1.00           
1984-10-27	18.00          	1.853          	0.00           
1984-10-28	21.00          	2.015          	0.00           
1984-10-29	20.25          	2.591          	0.00           
1984-10-30	20.00          	1.650          	12.00          
1984-10-31	13.75          	1.973          	0.00           
1984-11-01	15.25          	1.923          	0.00           
1984-11-02	14.50          	1.858          	0.00           
1984-11-03	12.75          	1.679          	2.00           
1984-11-04	4.25           	1.585          	0.00           
1984-11-05	6.75           	1.480          	0.00           
1984-11-06	12.25          	1.490          	16.00          
1984-11-07	9.25           	1.647          	0.00           
1984-11-08	5.50           	1.285          	0.00           
1984-11-09	3.75           	1.008          	0.00           
1984-11-10	5.25           	1.332          	0.00           
1984-11-11	10.00          	1.712          	2.00           
1984-11-12	11.25          	1.352          	5.00           
1984-11-13	8.00           	1.504          	0.00           
1984-11-14	3.75           	0.995          	0.00           
1984-11-15	4.50           	1.565          	0.00           
1984-11-16	5.75           	2.047          	0.00           
1984-11-17	6.50           	1.841          	2.00           
1984-11-18	4.25           	1.517          	0.00           
1984-11-19	4.00           	1.043          	0.00           
1984-11-20	2.00           	0.693          	8.00           
1984-11-21	-2.25          	0.887          	0.00           
1984-11-22	-0.50          	0.942          	0.00           
1984-11-23	-1.75          	0.829          	0.00           
1984-11-24	-1.25          	1.127          	0.00           
1984-11-25	2.00           	1.512          	0.00           
1984-11-26	4.50           	1.040          	0.00           
1984-11-27	4.75           	0.922          	0.00           
1984-11-28	6.25           	1.547          	0.00           
1984-11-29	10.50          	2.396          	0.00           
1984-11-30	8.75           	2.360          	52.00          
1984-12-01	2.75           	0.869          	0.00           
1984-12-02	5.25           	1.213          	0.00           
1984-12-03	5.00           	0.861          	0.00           
1984-12-04	5.00           	0.951          	6.00           
1984-12-05	2.50           	1.218          	0.00           
1984-12-06	0.75           	0.643          	0.00           
1984-12-07	0.25           	0.735          	18.00          
1984-12-08	-2.75          	0.830          	0.00           
1984-12-09	-2.25          	0.733          	0.00           
1984-12-10	0.00           	0.584          	0.00           
1984-12-11	2.25           	0.815          	0.00           
1984-12-12	4.75           	0.574          	0.00           
1984-12-13	2.75           	0.678          	0.00           
1984-12-14	6.50           	0.854          	0.00           
1984-12-15	7.75           	0.855          	0.00           
1984-12-16	6.25           	0.762          	4.00           
1984-12-17	6.00           	0.670          	0.00           
1984-12-18	7.75           	0.863          	0.00           
1984-12-19	8.75           	1.113          	0.00           
1984-12-20	6.50           	1.417          	3.00           
1984-12-21	3.50           	1.013          	3.00           
1984-12-22	4.25           	0.946          	0.00           
1984-12-23	5.75           	1.315          	14.00          
1984-12-24	4.25           	1.407          	0.00           
1984-12-25	0.75           	1.070          	0.00           
1984-12-26	2.25           	1.170          	1.00           
1984-12-27	-2.25          	0.992          	0.00           
1984-12-28	0.25           	0.555          	0.00           
1984-12-29	2.75           	0.818          	6.00           
1984-12-30	11.00          	2.114          	0.00           
1984-12-31	14.75          	2.100          	0.00           
1985-01-01	4.75           	1.056          	2.00           
1985-01-02	7.50           	1.005          	9.00           
1985-01-03	1.50           	0.739          	0.00           
1985-01-04	-0.50          	0.341          	0.00           
1985-01-05	0.00           	0.534          	3.00           
1985-01-06	-0.50          	0.721          	0.00           
1985-01-07	0.75           	0.574          	0.00           
1985-01-08	0.00           	0.777          	0.00           
1985-01-09	-6.50          	0.784          	0.00           
1985-01-10	-7.50          	0.388          	0.00           
1985-01-11	-7.00          	0.460          	4.00           
1985-01-12	-6.25          	0.695          	0.00           
1985-01-13	-5.00          	0.846          	0.00           
1985-01-14	-2.75          	1.047          	0.00           
1985-01-15	-2.00          	1.050          	0.00           
1985-01-16	-7.50          	0.643          	0.00           
1985-01-17	-5.25          	0.563          	4.00           
1985-01-18	-3.00          	0.511          	0.00           
1985-01-19	-3.00          	0.773          	0.00           
1985-01-20	-10.25         	1.058          	0.00           
1985-01-21	-18.75         	0.520          	0.00           
1985-01-22	-11.75         	0.978          	0.00           
1985-01-23	-5.25          	0.851          	0.00           
1985-01-24	-3.25          	0.710          	0.00           
1985-01-25	-0.75          	0.723          	0.00           
1985-01-26	-3.00          	0.875          	3.00           
1985-01-27	-7.25          	0.685          	0.00           
1985-01-28	-3.25          	0.699          	0.00           
1985-01-29	-3.50          	0.756          	0.00           
1985-01-30	-4.50          	0.581          	0.00           
1985-01-31	-3.25          	0.599          	3.00           
1985-02-01	-0.50          	0.496          	6.00           
1985-02-02	-1.25          	0.605          	10.00          
1985-02-03	-7.50          	0.788          	3.00           
1985-02-04	-9.25          	0.788          	0.00           
1985-02-05	-8.75          	0.629          	0.00           
1985-02-06	-3.75          	0.678          	11.00          
1985-02-07	-4.00          	0.906          	0.00           
1985-02-08	-8.75          	0.902          	0.00           
1985-02-09	-6.75          	0.787          	0.00           
1985-02-10	-3.75          	0.815          	0.00           
1985-02-11	-3.25          	1.007          	0.00           
1985-02-12	2.25           	1.318          	20.00          
1985-02-13	1.75           	1.215          	23.00          
1985-02-14	-2.25          	0.841          	0.00           
1985-02-15	-3.75          	0.901          	0.00           
1985-02-16	-4.75          	0.752          	0.00           
1985-02-17	-1.50          	1.163          	0.00           
1985-02-18	1.50           	1.399          	0.00           
1985-02-19	2.25           	1.572          	0.00           
1985-02-20	0.25           	1.396          	0.00           
1985-02-21	1.50           	1.515          	0.00           
1985-02-22	6.75           	1.844          	0.00           
1985-02-23	11.75          	2.331          	0.00           
1985-02-24	12.75          	3.391          	0.00           
1985-02-25	14.00          	2.958          	0.00           
1985-02-26	7.50           	1.114          	1.00           
1985-02-27	6.00           	1.859          	0.00           
1985-02-28	1.00           	1.783          	0.00           
1985-03-01	2.25           	1.861          	0.00           
1985-03-02	5.00           	2.305          	0.00           
1985-03-03	4.25           	1.890          	0.00           
1985-03-04	2.75           	1.414          	0.00           
1985-03-05	4.75           	2.348          	5.00           
1985-03-06	1.75           	2.182          	0.00           
1985-03-07	-0.25          	1.563          	0.00           
1985-03-08	5.50           	1.903          	4.00           
1985-03-09	9.00           	2.512          	0.00           
1985-03-10	6.50           	2.285          	0.00           
1985-03-11	6.00           	2.072          	0.00           
1985-03-12	8.25           	1.969          	12.00          
1985-03-13	8.50           	2.425          	0.00           
1985-03-14	8.75           	1.870          	0.00           
1985-03-15	4.75           	2.134          	0.00           
1985-03-16	3.25           	2.101          	0.00           
1985-03-17	3.00           	1.980          	0.00           
1985-03-18	2.25           	2.019          	0.00           
1985-03-19	0.25           	2.215          	0.00           
1985-03-20	5.50           	2.519          	0.00           
1985-03-21	4.75           	2.701          	0.00           
1985-03-22	2.50           	1.419          	0.00           
1985-03-23	4.00           	1.128          	6.00           
1985-03-24	4.50           	0.803          	7.00           
1985-03-25	4.25           	2.017          	5.00           
1985-03-26	5.00           	2.559          	0.00           
1985-03-27	8.50           	4.059          	0.00           
1985-03-28	14.50          	3.209          	0.00           
1985-03-29	16.50          	3.037          	7.00           
1985-03-30	14.50          	3.172          	2.00           
1985-03-31	6.50           	1.496          	6.00           
1985-04-01	6.00           	1.518          	12.00          
1985-04-02	3.50           	1.732          	0.00           
1985-04-03	3.25           	1.773          	0.00           
1985-04-04	6.25           	1.679          	3.00           
1985-04-05	13.50          	4.788          	0.00           
1985-04-06	16.00          	4.849          	4.00           
1985-04-07	8.50           	2.218          	0.00           
1985-04-08	5.00           	2.334          	3.00           
1985-04-09	1.75           	1.691          	2.00           
1985-04-10	0.25           	2.068          	0.00           
1985-04-11	5.00           	1.582          	0.00           
1985-04-12	8.25           	2.977          	0.00           
1985-04-13	12.50          	3.164          	0.00           
1985-04-14	13.50          	2.851          	0.00           
1985-04-15	13.50          	1.614          	0.00           
1985-04-16	15.50          	3.215          	0.00           
1985-04-17	12.25          	4.459          	9.00           
1985-04-18	12.50          	4.888          	0.00           
1985-04-19	20.50          	5.042          	0.00           
1985-04-20	21.50          	4.421          	0.00           
1985-04-21	20.00          	4.562          	0.00           
1985-04-22	21.75          	4.725          	0.00           
1985-04-23	21.00          	4.238          	0.00           
1985-04-24	17.00          	3.381          	0.00           
1985-04-25	12.75          	2.028          	0.00           
1985-04-26	16.50          	5.182          	0.00           
1985-04-27	17.25          	5.169          	0.00           
1985-04-28	13.00          	3.249          	0.00           
1985-04-29	13.00          	4.367          	0.00           
1985-04-30	15.25          	5.442          	0.00           
1985-05-01	17.00          	4.265          	0.00           
1985-05-02	17.25          	4.891          	20.00          
1985-05-03	10.00          	3.088          	48.00          
1985-05-04	9.50           	4.111          	0.00           
1985-05-05	14.75          	5.050          	0.00           
1985-05-06	16.75          	3.229          	0.00           
1985-05-07	17.25          	3.864          	1.00           
1985-05-08	12.75          	4.472          	0.00           
1985-05-09	12.25          	3.815          	0.00           
1985-05-10	17.00          	5.667          	0.00           
1985-05-11	21.25          	5.652          	0.00           
1985-05-12	22.50          	4.688          	0.00           
1985-05-13	22.25          	5.450          	7.00           
1985-05-14	20.00          	6.050          	0.00           
1985-05-15	18.00          	3.337          	0.00           
1985-05-16	14.25          	1.439          	7.00           
1985-05-17	15.25          	1.864          	8.00           
1985-05-18	13.25          	2.689          	13.00          
1985-05-19	12.75          	4.193          	0.00           
1985-05-20	16.75          	5.893          	0.00           
1985-05-21	20.50          	3.756          	0.00           
1985-05-22	18.00          	4.814          	17.00          
1985-05-23	16.25          	2.274          	7.00           
1985-05-24	15.25          	4.045          	0.00           
1985-05-25	17.75          	5.340          	0.00           
1985-05-26	19.75          	5.320          	0.00           
1985-05-27	20.75          	5.922          	0.00           
1985-05-28	21.50          	1.693          	0.00           
1985-05-29	17.00          	3.725          	6.00           
1985-05-30	15.50          	4.172          	0.00           
1985-05-31	17.50          	2.585          	0.00           
1985-06-01	20.25          	5.965          	6.00           
1985-06-02	19.50          	4.797          	0.00           
1985-06-03	21.00          	3.559          	0.00           
1985-06-04	20.25          	4.129          	12.00          
1985-06-05	19.25          	2.248          	10.00          
1985-06-06	17.25          	4.037          	0.00           
1985-06-07	17.00          	3.671          	0.00           
1985-06-08	17.75          	4.540          	4.00           
1985-06-09	20.25          	4.673          	3.00           
1985-06-10	22.50          	6.217          	0.00           
1985-06-11	21.25          	3.307          	0.00           
1985-06-12	21.00          	4.362          	0.00           
1985-06-13	17.00          	3.640          	0.00           
1985-06-14	14.00          	3.900          	0.00           
1985-06-15	15.75          	3.735          	0.00           
1985-06-16	19.00          	2.031          	18.00          
1985-06-17	19.00          	4.745          	10.00          
1985-06-18	21.50          	4.336          	4.00           
1985-06-19	20.50          	5.210          	0.00           
1985-06-20	18.50          	3.846          	0.00           
1985-06-21	18.25          	4.457          	7.00           
1985-06-22	20.25          	4.909          	0.00           
1985-06-23	22.00          	4.933          	2.00           
1985-06-24	23.25          	5.316          	0.00           
1985-06-25	19.00          	5.750          	0.00           
1985-06-26	17.50          	4.568          	0.00           
1985-06-27	17.25          	4.024          	0.00           
1985-06-28	16.25          	1.714          	0.00           
1985-06-29	19.00          	3.962          	5.00           
1985-06-30	19.00          	3.886          	0.00           
1985-07-01	18.75          	2.402          	0.00           
1985-07-02	19.25          	2.573          	0.00           
1985-07-03	21.00          	5.479          	6.00           
1985-07-04	22.25          	4.364          	6.00           
1985-07-05	23.50          	5.018          	0.00           
1985-07-06	23.75          	3.382          	0.00           
1985-07-07	21.50          	5.222          	10.00          
1985-07-08	19.50          	3.274          	0.00           
1985-07-09	22.75          	4.963          	3.00           
1985-07-10	23.25          	4.878          	0.00           
1985-07-11	22.50          	5.365          	0.00           
1985-07-12	22.00          	5.031          	0.00           
1985-07-13	22.75          	5.637          	0.00           
1985-07-14	24.25          	3.625          	0.00           
1985-07-15	25.25          	4.874          	8.00           
1985-07-16	25.25          	5.917          	0.00           
1985-07-17	22.50          	6.105          	0.00           
1985-07-18	22.00          	5.163          	0.00           
1985-07-19	23.50          	5.552          	0.00           
1985-07-20	24.50          	5.557          	0.00           
1985-07-21	24.50          	4.235          	0.00           
1985-07-22	24.50          	4.689          	9.00           
1985-07-23	20.00          	5.371          	5.00           
1985-07-24	18.00          	5.335          	0.00           
1985-07-25	22.50          	4.871          	0.00           
1985-07-26	24.50          	4.513          	16.00          
1985-07-27	23.50          	5.483          	25.00          
1985-07-28	21.25          	4.544          	0.00           
1985-07-29	22.25          	4.762          	0.00           
1985-07-30	23.50          	5.432          	0.00           
1985-07-31	24.50          	3.371          	23.00          
1985-08-01	21.50          	5.456          	35.00          
1985-08-02	19.25          	4.571          	0.00           
1985-08-03	19.25          	4.235          	0.00           
1985-08-04	20.25          	4.077          	0.00           
1985-08-05	20.75          	4.392          	0.00           
1985-08-06	21.25          	4.072          	0.00           
1985-08-07	23.50          	4.487          	0.00           
1985-08-08	24.25          	4.369          	15.00          
1985-08-09	23.50          	4.525          	0.00           
1985-08-10	23.75          	5.061          	0.00           
1985-08-11	23.75          	4.225          	0.00           
1985-08-12	21.75          	5.461          	0.00           
1985-08-13	21.50          	4.536          	0.00           
1985-08-14	25.50          	4.049          	23.00          
1985-08-15	26.50          	5.291          	0.00           
1985-08-16	24.50          	2.867          	0.00           
1985-08-17	21.50          	4.501          	0.00           
1985-08-18	20.00          	2.219          	0.00           
1985-08-19	22.25          	4.175          	0.00           
1985-08-20	22.75          	3.328          	0.00           
1985-08-21	21.50          	2.744          	0.00           
1985-08-22	19.75          	3.096          	0.00           
1985-08-23	18.25          	3.534          	0.00           
1985-08-24	18.50          	3.206          	0.00           
1985-08-25	20.25          	2.050          	21.00          
1985-08-26	22.25          	3.153          	5.00           
1985-08-27	22.75          	4.007          	0.00           
1985-08-28	21.25          	4.330          	0.00           
1985-08-29	21.75          	3.441          	0.00           
1985-08-30	21.75          	2.137          	0.00           
1985-08-31	19.75          	2.491          	1.00           
1985-09-01	16.25          	1.849          	0.00           
1985-09-02	20.25          	3.297          	0.00           
1985-09-03	23.00          	3.869          	0.00           
1985-09-04	24.25          	4.789          	0.00           
1985-09-05	25.75          	4.855          	0.00           
1985-09-06	26.00          	3.840          	0.00           
1985-09-07	26.00          	4.523          	0.00           
1985-09-08	25.50          	4.409          	0.00           
1985-09-09	23.75          	2.864          	10.00          
1985-09-10	23.50          	2.842          	12.00          
1985-09-11	20.00          	3.989          	10.00          
1985-09-12	12.50          	2.784          	0.00           
1985-09-13	11.25          	3.005          	0.00           
1985-09-14	11.50          	3.395          	0.00           
1985-09-15	13.25          	3.298          	0.00           
1985-09-16	14.00          	3.166          	0.00           
1985-09-17	15.25          	3.098          	0.00           
1985-09-18	16.50          	3.288          	0.00           
1985-09-19	19.00          	3.619          	0.00           
